id,Spruce_x,Sliver Fir_x,Douglas Fir_x,Pine_x,Oak_x,Beech_x,Sycamore_x,Ash_x,sum,Spruce_y,Sliver Fir_y,Douglas Fir_y,Pine_y,Oak_y,Beech_y,Sycamore_y,Ash_y,Others
165532.0,True,True,True,True,True,True,True,True,8,0.5,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0
261274.0,True,True,True,True,True,True,True,True,8,0.55,0.15,0.0,0.05,0.0,0.25,0.0,0.0,0.0
38141.0,True,True,True,True,True,True,True,True,8,0.2,0.3,0.4,0.0,0.0,0.1,0.0,0.0,0.0
395128.0,True,True,True,True,True,True,True,True,8,0.3,0.15,0.3,0.0,0.0,0.2,0.05,0.0,0.0
263308.0,True,True,True,True,True,True,True,True,8,0.45,0.4,0.0,0.05,0.0,0.1,0.0,0.0,0.0
163403.0,True,True,True,True,True,True,True,True,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112418.0,True,True,True,True,True,True,True,True,8,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236400.0,True,True,True,True,True,True,True,True,8,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
101612.0,True,True,True,True,True,True,True,True,8,0.5,0.2,0.0,0.0,0.1,0.2,0.0,0.0,0.0
329076.0,True,True,True,True,True,True,True,True,8,0.5,0.1,0.0,0.0,0.0,0.05,0.05,0.3,0.0
243246.0,True,True,True,True,True,True,True,True,8,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161446.0,True,True,True,True,True,True,True,True,8,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
123504.0,True,True,True,True,True,True,True,True,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31069.0,True,True,True,True,True,True,True,True,8,0.2,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0
112713.0,True,True,True,True,True,True,True,True,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381249.0,True,True,True,True,True,True,True,True,8,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
356324.0,True,True,True,True,True,True,True,True,8,0.25,0.3,0.0,0.1,0.0,0.35,0.0,0.0,0.0
212149.0,True,True,True,True,True,True,True,True,8,0.4,0.0,0.0,0.0,0.0,0.35,0.05,0.2,0.0
82838.0,True,True,True,True,True,True,True,True,8,0.85,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0
367395.0,True,True,True,True,True,True,True,True,8,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0
98347.0,True,True,True,True,True,True,True,True,8,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243250.0,True,True,True,True,True,True,True,True,8,0.2,0.5,0.2,0.0,0.0,0.05,0.05,0.0,0.0
78488.0,True,True,True,True,True,True,True,True,8,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344297.0,True,True,True,True,True,True,True,True,8,0.85,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0
81026.0,True,True,True,True,True,True,True,True,8,0.5,0.1,0.0,0.05,0.05,0.3,0.0,0.0,0.0
215056.0,True,True,True,True,True,True,True,True,8,0.4,0.05,0.0,0.5,0.0,0.05,0.0,0.0,0.0
212239.0,True,True,True,True,True,True,True,True,8,0.75,0.0,0.05,0.0,0.0,0.1,0.1,0.0,0.0
92919.0,True,True,True,True,True,True,True,True,8,0.2,0.3,0.45,0.0,0.0,0.05,0.0,0.0,0.0
220397.0,True,True,True,True,True,True,True,True,8,0.3,0.0,0.0,0.0,0.0,0.1,0.45,0.15,0.0
304438.0,True,True,True,True,True,True,True,True,8,0.1,0.25,0.0,0.1,0.15,0.4,0.0,0.0,0.0
53544.0,True,True,True,True,True,True,True,True,8,0.3,0.0,0.65,0.0,0.0,0.05,0.0,0.0,0.0
368488.0,True,True,True,True,True,True,True,True,8,0.6,0.2,0.0,0.05,0.0,0.1,0.0,0.0,0.05
172557.0,True,True,True,True,True,True,True,True,8,0.5,0.1,0.0,0.15,0.0,0.2,0.0,0.0,0.05
112731.0,True,True,True,True,True,True,True,True,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390920.0,True,True,True,True,True,True,True,True,8,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14467.0,True,True,True,True,True,True,True,True,8,0.6,0.0,0.25,0.0,0.0,0.1,0.05,0.0,0.0
335037.0,True,True,True,True,True,True,True,True,8,0.35,0.6,0.0,0.0,0.0,0.05,0.0,0.0,0.0
100964.0,True,True,True,True,True,True,True,True,8,0.1,0.0,0.0,0.7,0.1,0.1,0.0,0.0,0.0
210642.0,True,True,True,True,True,True,True,True,8,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
399958.0,True,True,True,True,True,True,True,True,8,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.7,0.0
277722.0,True,True,True,True,True,True,True,True,8,0.75,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.0
382142.0,True,True,True,True,True,True,True,True,8,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
223478.0,True,True,True,True,True,True,True,True,8,0.1,0.05,0.0,0.0,0.0,0.1,0.2,0.5,0.05
343032.0,True,True,True,True,True,True,True,True,8,0.3,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0
32326.0,True,True,True,True,True,True,True,True,8,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0
377286.0,True,True,True,True,True,True,True,True,8,0.35,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381205.0,True,True,True,True,True,True,True,True,8,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0
414872.0,True,True,True,True,True,True,True,True,8,0.15,0.1,0.0,0.0,0.0,0.6,0.1,0.0,0.05
75319.0,True,True,True,True,True,True,True,True,8,0.4,0.0,0.4,0.0,0.0,0.1,0.1,0.0,0.0
409882.0,True,True,True,True,True,True,True,True,8,0.05,0.2,0.0,0.0,0.0,0.4,0.1,0.15,0.1
115917.0,True,True,True,True,True,True,True,True,8,0.6,0.1,0.0,0.0,0.0,0.05,0.15,0.1,0.0
228070.0,True,True,True,True,True,True,True,True,8,0.3,0.0,0.0,0.0,0.0,0.55,0.05,0.1,0.0
46649.0,True,True,True,True,True,True,True,True,8,0.0,0.1,0.55,0.0,0.0,0.05,0.2,0.0,0.1
261003.0,True,True,True,True,True,True,True,True,8,0.35,0.6,0.0,0.0,0.0,0.05,0.0,0.0,0.0
48858.0,True,True,True,True,True,True,True,True,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130834.0,True,True,True,True,True,True,True,True,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133280.0,True,True,True,True,True,True,True,True,8,0.5,0.45,0.0,0.0,0.0,0.05,0.0,0.0,0.0
338276.0,True,True,True,True,True,True,True,True,8,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340414.0,True,True,True,True,True,True,True,True,8,0.3,0.0,0.0,0.1,0.3,0.2,0.0,0.0,0.1
328807.0,True,True,True,True,True,True,True,True,8,0.2,0.0,0.0,0.0,0.0,0.55,0.1,0.15,0.0
346524.0,True,True,True,True,True,True,True,True,8,0.35,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0
110915.0,True,True,True,True,True,True,True,True,8,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
134836.0,True,True,True,True,True,True,True,True,8,0.35,0.0,0.6,0.0,0.0,0.05,0.0,0.0,0.0
324134.0,True,True,True,True,True,True,True,True,8,0.65,0.15,0.0,0.0,0.0,0.2,0.0,0.0,0.0
311409.0,True,True,True,True,True,True,True,True,8,0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0
184264.0,True,True,True,True,True,True,True,True,8,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259576.0,True,True,True,True,True,True,True,True,8,0.1,0.0,0.0,0.0,0.0,0.65,0.15,0.05,0.05
7049.0,True,True,True,True,True,True,True,True,8,0.05,0.0,0.0,0.0,0.0,0.75,0.15,0.05,0.0
226224.0,True,True,True,True,True,True,True,True,8,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.3,0.0
91140.0,True,True,True,True,True,True,True,True,8,0.3,0.05,0.0,0.0,0.3,0.35,0.0,0.0,0.0
171766.0,True,True,True,True,True,True,True,True,8,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
280069.0,True,True,True,True,True,True,True,True,8,0.55,0.05,0.0,0.4,0.0,0.0,0.0,0.0,0.0
326981.0,True,True,True,True,True,True,True,True,8,0.1,0.6,0.0,0.0,0.0,0.2,0.1,0.0,0.0
414615.0,True,True,True,True,True,True,True,True,8,0.7,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0
269436.0,True,True,True,True,True,True,True,True,8,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
240619.0,True,True,True,True,True,True,True,True,8,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
286169.0,True,True,True,True,True,True,True,True,8,0.7,0.25,0.0,0.0,0.0,0.05,0.0,0.0,0.0
240092.0,True,True,True,True,True,True,True,True,8,0.55,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163278.0,True,True,True,True,True,True,True,True,8,0.3,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.0
122117.0,True,True,True,True,True,True,True,True,8,0.8,0.15,0.0,0.05,0.0,0.0,0.0,0.0,0.0
377500.0,True,True,True,True,True,True,True,True,8,0.3,0.0,0.5,0.0,0.0,0.1,0.05,0.05,0.0
384347.0,True,True,True,True,True,True,True,True,8,0.8,0.15,0.0,0.05,0.0,0.0,0.0,0.0,0.0
284002.0,True,True,True,True,True,True,True,True,8,0.1,0.0,0.0,0.0,0.0,0.6,0.2,0.1,0.0
412414.0,True,True,True,True,True,True,True,True,8,0.3,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0
